id_vet_especialidad;id_veterinario;id_prestacion;id_especialidad;nombres;apellidos;sexo;especialidad;id_clinica
1;1;13;3;Oscar Orlando;Aburto Bravo;MASCULINO;Cirugía;1
2;1;67;14;Oscar Orlando;Aburto Bravo;MASCULINO;Nutrición natural;1
3;1;39;8;Oscar Orlando;Aburto Bravo;MASCULINO;Radiología;1
4;1;39;8;Oscar Orlando;Aburto Bravo;MASCULINO;Radiología;1
5;1;18;4;Oscar Orlando;Aburto Bravo;MASCULINO;Dermatología;1
6;1;44;9;Oscar Orlando;Aburto Bravo;MASCULINO;Nutrición animal;1
7;2;32;7;Mario Oscar;Acevedo Sánchez;MASCULINO;Oncología;1
8;2;66;14;Mario Oscar;Acevedo Sánchez;MASCULINO;Nutrición natural;1
9;2;52;11;Mario Oscar;Acevedo Sánchez;MASCULINO;Etología;1
10;2;56;12;Mario Oscar;Acevedo Sánchez;MASCULINO;Gastroenterología;1
11;2;54;11;Mario Oscar;Acevedo Sánchez;MASCULINO;Etología;1
12;3;9;2;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Urgencias veterinarias;5
12;3;9;2;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Urgencias veterinarias;12
12;3;9;2;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Urgencias veterinarias;15
12;3;9;2;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Urgencias veterinarias;17
13;3;25;5;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Fisioterapia;5
13;3;25;5;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Fisioterapia;12
13;3;25;5;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Fisioterapia;15
13;3;25;5;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Fisioterapia;17
14;3;31;7;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Oncología;5
14;3;31;7;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Oncología;12
14;3;31;7;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Oncología;15
14;3;31;7;Patricia Verónica ;Acevedo Chamorro;FEMENINO;Oncología;17
15;4;60;12;Ennio Aldo;Aguirre Ducler;MASCULINO;Gastroenterología;9
15;4;60;12;Ennio Aldo;Aguirre Ducler;MASCULINO;Gastroenterología;19
15;4;60;12;Ennio Aldo;Aguirre Ducler;MASCULINO;Gastroenterología;20
16;4;7;2;Ennio Aldo;Aguirre Ducler;MASCULINO;Urgencias veterinarias;9
16;4;7;2;Ennio Aldo;Aguirre Ducler;MASCULINO;Urgencias veterinarias;19
16;4;7;2;Ennio Aldo;Aguirre Ducler;MASCULINO;Urgencias veterinarias;20
17;4;66;14;Ennio Aldo;Aguirre Ducler;MASCULINO;Nutrición natural;9
17;4;66;14;Ennio Aldo;Aguirre Ducler;MASCULINO;Nutrición natural;19
17;4;66;14;Ennio Aldo;Aguirre Ducler;MASCULINO;Nutrición natural;20
18;4;13;3;Ennio Aldo;Aguirre Ducler;MASCULINO;Cirugía;9
18;4;13;3;Ennio Aldo;Aguirre Ducler;MASCULINO;Cirugía;19
18;4;13;3;Ennio Aldo;Aguirre Ducler;MASCULINO;Cirugía;20
19;5;17;4;Fernando Andrés;Aránguiz Rojas;MASCULINO;Dermatología;14
20;5;45;9;Fernando Andrés;Aránguiz Rojas;MASCULINO;Nutrición animal;14
21;5;66;14;Fernando Andrés;Aránguiz Rojas;MASCULINO;Nutrición natural;14
22;5;18;4;Fernando Andrés;Aránguiz Rojas;MASCULINO;Dermatología;14
23;5;31;7;Fernando Andrés;Aránguiz Rojas;MASCULINO;Oncología;14
24;5;70;14;Fernando Andrés;Aránguiz Rojas;MASCULINO;Nutrición natural;14
25;6;67;14;Paulina Alejandra;Arias Díaz;FEMENINO;Nutrición natural;5
26;6;14;3;Paulina Alejandra;Arias Díaz;FEMENINO;Cirugía;5
27;6;33;7;Paulina Alejandra;Arias Díaz;FEMENINO;Oncología;5
28;6;10;2;Paulina Alejandra;Arias Díaz;FEMENINO;Urgencias veterinarias;5
29;6;20;4;Paulina Alejandra;Arias Díaz;FEMENINO;Dermatología;5
30;6;8;2;Paulina Alejandra;Arias Díaz;FEMENINO;Urgencias veterinarias;5
31;6;53;11;Paulina Alejandra;Arias Díaz;FEMENINO;Etología;5
32;6;63;13;Paulina Alejandra;Arias Díaz;FEMENINO;Geriatría;5
33;7;43;9;Mauricio Andrés;Arias Monsalve;MASCULINO;Nutrición animal;16
34;7;34;7;Mauricio Andrés;Arias Monsalve;MASCULINO;Oncología;16
35;8;65;13;Patricio Sebastian;Asencio Schmidt;MASCULINO;Geriatría;8
35;8;65;13;Patricio Sebastian;Asencio Schmidt;MASCULINO;Geriatría;13
36;9;56;12;Daniel Ignacio;Avila Avila;MASCULINO;Gastroenterología;20
37;10;61;13;Belén Alejandra;Barra Pérez;FEMENINO;Geriatría;18
38;10;38;8;Belén Alejandra;Barra Pérez;FEMENINO;Radiología;18
39;10;29;6;Belén Alejandra;Barra Pérez;FEMENINO;Oftalmología;18
40;11;23;5;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Fisioterapia;10
40;11;23;5;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Fisioterapia;12
40;11;23;5;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Fisioterapia;20
41;11;12;3;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Cirugía;10
41;11;12;3;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Cirugía;12
41;11;12;3;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Cirugía;20
42;11;35;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;10
42;11;35;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;12
42;11;35;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;20
43;11;53;11;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Etología;10
43;11;53;11;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Etología;12
43;11;53;11;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Etología;20
44;11;41;9;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Nutrición animal;10
44;11;41;9;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Nutrición animal;12
44;11;41;9;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Nutrición animal;20
45;11;32;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;10
45;11;32;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;12
45;11;32;7;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oncología;20
46;11;29;6;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oftalmología;10
46;11;29;6;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oftalmología;12
46;11;29;6;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Oftalmología;20
47;11;5;1;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Medicina interna;10
47;11;5;1;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Medicina interna;12
47;11;5;1;Gonzalo Raúl;Bascuñan Haag;MASCULINO;Medicina interna;20
48;12;24;5;José Luis;Becerra Martínez;MASCULINO;Fisioterapia;2
48;12;24;5;José Luis;Becerra Martínez;MASCULINO;Fisioterapia;8
48;12;24;5;José Luis;Becerra Martínez;MASCULINO;Fisioterapia;9
49;13;59;12;Héctor Andrés;Bilbao Matus;MASCULINO;Gastroenterología;11
50;13;53;11;Héctor Andrés;Bilbao Matus;MASCULINO;Etología;11
51;13;45;9;Héctor Andrés;Bilbao Matus;MASCULINO;Nutrición animal;11
52;13;6;2;Héctor Andrés;Bilbao Matus;MASCULINO;Urgencias veterinarias;11
53;13;43;9;Héctor Andrés;Bilbao Matus;MASCULINO;Nutrición animal;11
54;13;28;6;Héctor Andrés;Bilbao Matus;MASCULINO;Oftalmología;11
55;13;36;8;Héctor Andrés;Bilbao Matus;MASCULINO;Radiología;11
56;13;47;10;Héctor Andrés;Bilbao Matus;MASCULINO;Endocrinología;11
57;14;69;14;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición natural;4
57;14;69;14;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición natural;17
58;14;24;5;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Fisioterapia;4
58;14;24;5;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Fisioterapia;17
59;14;29;6;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Oftalmología;4
59;14;29;6;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Oftalmología;17
60;14;41;9;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición animal;4
60;14;41;9;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición animal;17
61;14;28;6;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Oftalmología;4
61;14;28;6;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Oftalmología;17
62;14;18;4;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Dermatología;4
62;14;18;4;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Dermatología;17
63;14;69;14;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición natural;4
63;14;69;14;Guillermo Enríque;Biridinis Caltagirone;MASCULINO;Nutrición natural;17
64;15;3;1;Mario Julio;Bustos Vásquez;MASCULINO;Medicina interna;1
64;15;3;1;Mario Julio;Bustos Vásquez;MASCULINO;Medicina interna;3
65;15;30;6;Mario Julio;Bustos Vásquez;MASCULINO;Oftalmología;1
65;15;30;6;Mario Julio;Bustos Vásquez;MASCULINO;Oftalmología;3
66;15;51;11;Mario Julio;Bustos Vásquez;MASCULINO;Etología;1
66;15;51;11;Mario Julio;Bustos Vásquez;MASCULINO;Etología;3
67;15;47;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;1
67;15;47;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;3
68;15;70;14;Mario Julio;Bustos Vásquez;MASCULINO;Nutrición natural;1
68;15;70;14;Mario Julio;Bustos Vásquez;MASCULINO;Nutrición natural;3
69;15;49;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;1
69;15;49;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;3
70;15;50;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;1
70;15;50;10;Mario Julio;Bustos Vásquez;MASCULINO;Endocrinología;3
71;15;6;2;Mario Julio;Bustos Vásquez;MASCULINO;Urgencias veterinarias;1
71;15;6;2;Mario Julio;Bustos Vásquez;MASCULINO;Urgencias veterinarias;3
72;16;28;6;Camila Fernanda;Cabezón Marchant;FEMENINO;Oftalmología;1
73;16;20;4;Camila Fernanda;Cabezón Marchant;FEMENINO;Dermatología;1
74;16;20;4;Camila Fernanda;Cabezón Marchant;FEMENINO;Dermatología;1
75;16;53;11;Camila Fernanda;Cabezón Marchant;FEMENINO;Etología;1
76;17;68;14;Carlos Luis;Campos Paiva;MASCULINO;Nutrición natural;1
77;17;17;4;Carlos Luis;Campos Paiva;MASCULINO;Dermatología;1
78;17;16;4;Carlos Luis;Campos Paiva;MASCULINO;Dermatología;1
79;17;63;13;Carlos Luis;Campos Paiva;MASCULINO;Geriatría;1
80;17;3;1;Carlos Luis;Campos Paiva;MASCULINO;Medicina interna;1
81;17;34;7;Carlos Luis;Campos Paiva;MASCULINO;Oncología;1
82;17;13;3;Carlos Luis;Campos Paiva;MASCULINO;Cirugía;1
83;17;13;3;Carlos Luis;Campos Paiva;MASCULINO;Cirugía;1
84;17;36;8;Carlos Luis;Campos Paiva;MASCULINO;Radiología;1
85;18;60;12;Juan Andrés;Caro Galan;MASCULINO;Gastroenterología;1
85;18;60;12;Juan Andrés;Caro Galan;MASCULINO;Gastroenterología;6
86;18;51;11;Juan Andrés;Caro Galan;MASCULINO;Etología;1
86;18;51;11;Juan Andrés;Caro Galan;MASCULINO;Etología;6
87;18;13;3;Juan Andrés;Caro Galan;MASCULINO;Cirugía;1
87;18;13;3;Juan Andrés;Caro Galan;MASCULINO;Cirugía;6
88;18;67;14;Juan Andrés;Caro Galan;MASCULINO;Nutrición natural;1
88;18;67;14;Juan Andrés;Caro Galan;MASCULINO;Nutrición natural;6
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;4
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;7
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;12
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;14
89;19;28;6;José Miguel;Carrizo Nuñez;MASCULINO;Oftalmología;18
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;4
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;7
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;12
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;14
90;19;18;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;18
91;19;20;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;4
91;19;20;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;7
91;19;20;4;José Miguel;Carrizo Nuñez;MASCULINO;Dermatología;12
